                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20210322"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                             he_core_mass                              c_core_mass                              o_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                   total_angular_momentum                              num_retries                                num_iters 
                                      10                                     3376                  6.9091226185682740E+002                  2.1078737071573079E+000                  1.9999981843155751E+001                  3.4599535511753608E+001                 -7.6736101842663995E+000                  1.2531110766388823E+001                  5.0349258669645032E+000                 -3.0526070013096902E+001                 -9.8999999999999986E+001                  5.0349258669645023E+000                  1.0534640061126159E+000                  5.0348805412025968E+000                 -3.0526070013096902E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5125952041789432E+000                  4.5812145344900035E+000                  7.8807001975161195E-001                  4.1629571891928476E+000                  1.2799164581061777E-006                  1.6246716952063412E+001                  5.3553576869059361E-001                  7.5095890914940000E+000                  7.0287908102255614E-001                  2.8000170967951515E-001                  2.2140765351277352E-003                  7.9726298339177874E-003                  2.9298508566681669E-003                  7.9734484983769362E-003                  1.4058302547869452E+001                  5.6000187337029965E+000                  0.0000000000000000E+000                                        0                                        3 
                                      11                                     3376                  8.4474719007069143E+002                  2.1870549532049330E+000                  1.9999978739456203E+001                  3.4599535444357564E+001                 -7.6951752805337987E+000                  1.2424589963167397E+001                  4.9687338336265379E+000                 -3.0713942830338382E+001                 -1.0058928593519678E+001                  4.9687338336265388E+000                  1.0395423867113651E+000                  4.9686827103799729E+000                 -3.0713942830338382E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5101080926950745E+000                  4.5752409357440111E+000                  7.9005744334635319E-001                  4.1589822746073191E+000                  1.1107560587178601E-006                  1.6234349275156752E+001                  5.2621369898484049E-001                  7.5065352278756743E+000                  7.0286725629351676E-001                  2.8000194220844160E-001                  2.1444787214686505E-003                  7.9725481988297334E-003                  2.9298508566681647E-003                  7.9734484983769345E-003                  1.4058136891099165E+001                  5.6000210791391716E+000                  0.0000000000000000E+000                                        0                                        3 
                                      12                                     3376                  1.0293491039273283E+003                  2.2662361992525577E+000                  1.9999975185538933E+001                  3.4599535367185140E+001                 -7.7155288851724526E+000                  1.2239944974371250E+001                  4.9047732238992330E+000                 -3.0889920567087309E+001                 -1.0837079843903322E+001                  4.9047732238992330E+000                  1.0274095757499297E+000                  4.9047156203206352E+000                 -3.0889920567087309E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5077667083362245E+000                  4.5701112552212457E+000                  7.9217537180267206E-001                  4.1547463405222596E+000                  9.6753942580920490E-007                  1.6222897428951992E+001                  5.1762628188478910E-001                  7.5036778288986383E+000                  7.0285487453439255E-001                  2.8000220245472551E-001                  2.0717037921473658E-003                  7.9724614770474832E-003                  2.9298508566681586E-003                  7.9734484983769189E-003                  1.4057965113611910E+001                  5.6000236418333653E+000                  0.0000000000000000E+000                                        0                                        3 
                                      13                                     3376                  1.2508714005552924E+003                  2.3454174453001824E+000                  1.9999971095873981E+001                  3.4599535278379072E+001                 -7.7337297159012435E+000                  1.1975867150740239E+001                  4.8435698451929650E+000                 -3.1050940074266094E+001                 -1.0359958589183659E+001                  4.8435698451929659E+000                  1.0175988294376817E+000                  4.8435050047884864E+000                 -3.1050940074266094E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5056723611009506E+000                  4.5664079428904953E+000                  7.9451241010784235E-001                  4.1500721751058540E+000                  8.4771323808784600E-007                  1.6212573984054899E+001                  5.0994709117224968E-001                  7.5010643652702376E+000                  7.0284175558631345E-001                  2.8000249857956072E-001                  1.9947189317106322E-003                  7.9723678116997050E-003                  2.9298508566681608E-003                  7.9734484983769172E-003                  1.4057785836669218E+001                  5.6000264783098510E+000                  0.0000000000000000E+000                                        0                                        3 
                                      14                                     3376                  1.5166981565088495E+003                  2.4245986913478075E+000                  1.9999966348766399E+001                  3.4599535175296779E+001                 -7.7481696168371919E+000                  1.1637709037202697E+001                  4.7857638492973207E+000                 -3.1193182302186809E+001                 -9.8999999999999986E+001                  4.7857638492973207E+000                  1.0107893000301171E+000                  4.7856909293709462E+000                 -3.1193182302186809E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5039669225507009E+000                  4.5648904070464029E+000                  7.9716451928629717E-001                  4.1447678536666519E+000                  7.4781376098423249E-007                  1.6203640153278833E+001                  5.0338508516520819E-001                  7.4987546214880769E+000                  7.0282767645125999E-001                  2.8000284207622356E-001                  1.9122539435760461E-003                  7.9722647111395133E-003                  2.9298508566681625E-003                  7.9734484983769189E-003                  1.4057597237005758E+001                  5.6000296688434466E+000                  0.0000000000000000E+000                                        0                                        3 
                                      15                                     3376                  1.8356902636531177E+003                  2.5037799373954321E+000                  1.9999960763191002E+001                  3.4599535054007333E+001                 -7.7567120190039311E+000                  1.1240174621652535E+001                  4.7321213419216166E+000                 -3.1311849016286892E+001                 -9.8999999999999986E+001                  4.7321213419216166E+000                  1.0078601547389554E+000                  4.7320393890643198E+000                 -3.1311849016286892E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5028038705664413E+000                  4.5662885347438831E+000                  8.0018968710355565E-001                  4.1387173967426856E+000                  6.6339636369507101E-007                  1.6196415668717773E+001                  4.9818846912585513E-001                  7.4968244583534771E+000                  7.0281235264476249E-001                  2.8000324967509332E-001                  1.8227005643695522E-003                  7.9721486918862081E-003                  2.9298508566681625E-003                  7.9734484983769206E-003                  1.4057396876493895E+001                  5.6000333295832405E+000                  0.0000000000000000E+000                                        0                                        3 
                                      16                                     3376                  2.2184807922262398E+003                  2.5829611834430568E+000                  1.9999954068581498E+001                  3.4599534908635427E+001                 -7.7572359339259433E+000                  1.0806663778275837E+001                  4.6835064228796881E+000                 -3.1401013220084071E+001                 -9.8999999999999986E+001                  4.6835064228796881E+000                  1.0099409113301685E+000                  4.6834143217728359E+000                 -3.1401013220084071E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5023045612955608E+000                  4.5710212358063256E+000                  8.0355465617653787E-001                  4.1319873132248128E+000                  5.8965550665871646E-007                  1.6191282983215842E+001                  4.9464597615885514E-001                  7.4953684106695961E+000                  7.0279542191193978E-001                  2.8000374632639674E-001                  1.7240322925521979E-003                  7.9720147621584504E-003                  2.9298508566681643E-003                  7.9734484983769310E-003                  1.4057181479157514E+001                  5.6000376352698540E+000                  0.0000000000000000E+000                                        0                                        3 
                                      17                                     3376                  2.6778294265139862E+003                  2.6621424294906819E+000                  1.9999945869989489E+001                  3.4599534730604816E+001                 -7.7484031544419354E+000                  1.0364252241497454E+001                  4.6407801604871182E+000                 -3.1453615907677190E+001                 -9.8999999999999986E+001                  4.6407801604871173E+000                  1.0184501927984477E+000                  4.6406765255567244E+000                 -3.1453615907677190E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5025245466497088E+000                  4.5789851147157741E+000                  8.0709662492296597E-001                  4.1249031977013475E+000                  5.2239836222741591E-007                  1.6188682501630236E+001                  4.9308205600742289E-001                  7.4944999125812215E+000                  7.0277643131665546E-001                  2.8000437011240337E-001                  1.6137557837007477E-003                  7.9718556107680021E-003                  2.9298508566681647E-003                  7.9734484983769172E-003                  1.4056946668343514E+001                  5.6000428628309686E+000                  0.0000000000000000E+000                                        0                                        3 
                                      18                                     3375                  3.2290477876592822E+003                  2.7413236755383066E+000                  1.9999935611639881E+001                  3.4599534507846926E+001                 -7.7302461795007202E+000                  9.9368947473898270E+000                  4.6045891914529884E+000                 -3.1461580878639591E+001                 -9.8999999999999986E+001                  4.6045891914529884E+000                  1.0351344369087725E+000                  4.6044721369614843E+000                 -3.1461580878639591E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5034512647571479E+000                  4.5895326320344241E+000                  8.1051694736741398E-001                  4.1180623300545607E+000                  4.5880625863895046E-007                  1.6189102504645192E+001                  4.9384813459328281E-001                  7.4943495405596243E+000                  7.0275481728693123E-001                  2.8000518132224245E-001                  1.4888444246332860E-003                  7.9716601122606767E-003                  2.9298508566681647E-003                  7.9734484983769258E-003                  1.4056686713447421E+001                  5.6000494758662542E+000                  0.0000000000000000E+000                                        0                                        3 
                                      19                                     3375                  3.8905098210336369E+003                  2.8205049215859317E+000                  1.9999922541805404E+001                  3.4599534224038067E+001                 -7.7042348342263809E+000                  9.5409713487842982E+000                  4.5750163060322073E+000                 -3.1415819798245334E+001                 -9.8999999999999986E+001                  4.5750163060322073E+000                  1.0621492483272301E+000                  4.5748829588246522E+000                 -3.1415819798245334E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5050352999164147E+000                  4.6016496261521809E+000                  8.1340737410775810E-001                  4.1122811927650158E+000                  3.9762598694595432E-007                  1.6193081675560975E+001                  4.9732548466227688E-001                  7.4950651539989934E+000                  7.0272986101755019E-001                  2.8000628113919585E-001                  1.3455805229168481E-003                  7.9714102341193506E-003                  2.9298508566681669E-003                  7.9734484983769362E-003                  1.4056394413586194E+001                  5.6000582922590727E+000                  0.0000000000000000E+000                                        0                                        3 
                                      20                                     3375                  4.4830809459854481E+003                  2.7727404851804445E+000                  1.9999909953924806E+001                  3.4599533950694571E+001                 -7.6727878705678636E+000                  9.1866320235574150E+000                  4.5552781511652523E+000                 -3.1341200026425046E+001                 -1.1138109839567303E+001                  4.5552781511652531E+000                  1.0910113157961279E+000                  4.5551290118847989E+000                 -3.1341200026425046E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5066498980365290E+000                  4.6114488010540766E+000                  8.1507776531847709E-001                  4.1089401370000793E+000                  4.2278164719775845E-007                  1.6198727512677525E+001                  5.0195662192019042E-001                  7.4962520857780550E+000                  7.0270790411688844E-001                  2.8000740306134858E-001                  1.2204436971176625E-003                  7.9711669985761419E-003                  2.9298508566681647E-003                  7.9734484983769224E-003                  1.4056143405652994E+001                  5.6000671402992133E+000                  0.0000000000000000E+000                                        0                                        3 
                                      21                                     3375                  5.1941662959276209E+003                  2.8519217312280691E+000                  1.9999893901785271E+001                  3.4599533602125078E+001                 -7.6463888050164641E+000                  8.9408061302349164E+000                  4.5379869482728337E+000                 -3.1215597495175725E+001                 -1.0837079843903322E+001                  4.5379869482728337E+000                  1.1309204930018366E+000                  4.5378168096463067E+000                 -3.1215597495175725E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5087376121301110E+000                  4.6214913655817345E+000                  8.1592361939514046E-001                  4.1072480802772624E+000                  3.6123849358447371E-007                  1.6207701773846928E+001                  5.0909811045173703E-001                  7.4982636391936950E+000                  7.0268209743510146E-001                  2.8000898737795377E-001                  1.0749295132266967E-003                  7.9708400818655732E-003                  2.9298508566681617E-003                  7.9734484983769172E-003                  1.4055853207829994E+001                  5.6000797673270091E+000                  0.0000000000000000E+000                                        0                                        3 
                                      22                                     3375                  6.0474687158582283E+003                  2.9311029772756938E+000                  1.9999873342948138E+001                  3.4599533155693003E+001                 -7.6181044312070911E+000                  8.7090571056072026E+000                  4.5217057869392647E+000                 -3.1025046393351055E+001                 -9.8999999999999986E+001                  4.5217057869392647E+000                  1.1849875114026129E+000                  4.5215057242680041E+000                 -3.1025046393351055E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5113794019801245E+000                  4.6313258580508663E+000                  8.1555728592968035E-001                  4.1079803007761084E+000                  3.0359848957405801E-007                  1.6220892801340561E+001                  5.1940387824533585E-001                  7.5013290455249582E+000                  7.0265174808534903E-001                  2.8001133802356298E-001                  9.0666669577974912E-004                  7.9703792272562482E-003                  2.9298508566681647E-003                  7.9734484983769345E-003                  1.4055516976612134E+001                  5.6000989311688611E+000                  0.0000000000000000E+000                                        0                                        3 
                                      23                                     3375                  6.8539226070027999E+003                  2.9065795417263116E+000                  1.9999852554333714E+001                  3.4599532704270885E+001                 -7.5887539974869771E+000                  8.4901929279323163E+000                  4.5065144310274947E+000                 -3.0813522588524712E+001                 -9.8999999999999986E+001                  4.5065144310274947E+000                  1.2412670895522340E+000                  4.5062785707013990E+000                 -3.0813522588524712E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5140042227693611E+000                  4.6390614103225900E+000                  8.1417542048707026E-001                  4.1107435802392089E+000                  3.0919066967673970E-007                  1.6235313121664845E+001                  5.3055535151003874E-001                  7.5047434256297141E+000                  7.0262359908348482E-001                  2.8001410021055684E-001                  7.5402280753700463E-004                  7.9698596281540680E-003                  2.9298508566681638E-003                  7.9734484983769310E-003                  1.4055209408693333E+001                  5.6001218537035458E+000                  0.0000000000000000E+000                                        0                                        3 
                                      24                                     3375                  7.8216672763762863E+003                  2.9857607877739363E+000                  1.9999826157534415E+001                  3.4599532131067065E+001                 -7.5642095173735795E+000                  8.3086372362109202E+000                  4.4876115117833564E+000                 -3.0518405536269753E+001                 -9.8999999999999986E+001                  4.4876115117833564E+000                  1.3151691404225891E+000                  4.4873194410997863E+000                 -3.0518405536269753E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5173764002133607E+000                  4.6467500322018980E+000                  8.1127537653872384E-001                  4.1165430949320836E+000                  2.5446677604327198E-007                  1.6255245199975619E+001                  5.4584351541252574E-001                  7.5095250240406735E+000                  7.0259087394813913E-001                  2.8001847157086490E-001                  5.8337821650738034E-004                  7.9690696427302844E-003                  2.9298508566681634E-003                  7.9734484983769345E-003                  1.4054855658723652E+001                  5.6001592300534417E+000                  0.0000000000000000E+000                                        0                                        4 
                                      25                                     3375                  8.9829608796244702E+003                  3.0649420338215609E+000                  1.9999792497904867E+001                  3.4599531400150532E+001                 -7.5378327019241116E+000                  8.1069569006242901E+000                  4.4618776556128594E+000                 -3.0107261866608642E+001                 -9.8999999999999986E+001                  4.4618776556128594E+000                  1.4114580800646639E+000                  4.4614907917594762E+000                 -3.0107261866608642E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5218126118812707E+000                  4.6545411467887723E+000                  8.0629851049634249E-001                  4.1264960961003094E+000                  2.0368642827125016E-007                  1.6282924927695809E+001                  5.6692666436915540E-001                  7.5162204166936775E+000                  7.0255349396177569E-001                  2.8002598914291804E-001                  4.0328252997221008E-004                  7.9677563861175610E-003                  2.9298508566681699E-003                  7.9734484983769380E-003                  1.4054455835920406E+001                  5.6002254385030312E+000                  0.0000000000000000E+000                                        0                                        5 
                                      26                                     3375                  1.0376513203522289E+004                  3.1441232798691860E+000                  1.9999749294890389E+001                  3.4599530461998242E+001                 -7.5086092291805757E+000                  7.8663264398430917E+000                  4.4302376622473760E+000                 -2.9543690946375111E+001                 -1.0962018580511621E+001                  4.4302376622473760E+000                  1.5319046987152172E+000                  4.4296884680804087E+000                 -2.9543690946375111E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5276874577549577E+000                  4.6625887141266755E+000                  7.9857260241791905E-001                  4.1419469741048704E+000                  1.5719089336495812E-007                  1.6320963702403436E+001                  5.9569586487550874E-001                  7.5254692772925171E+000                  7.0251155626028905E-001                  2.8004035318238618E-001                  2.3602585823493205E-004                  7.9652952221522088E-003                  2.9298508566681591E-003                  7.9734484983769189E-003                  1.4054012451353985E+001                  5.6003547480241300E+000                  0.0000000000000000E+000                                        0                                        5 
                                      27                                     3375                  1.2048775992199671E+004                  3.2233045259168107E+000                  1.9999693350891995E+001                  3.4599529247172825E+001                 -7.4755510231618256E+000                  7.5839122432361901E+000                  4.4190500648868056E+000                 -2.8845118421236972E+001                 -9.8999999999999986E+001                  4.4190500648868056E+000                  1.6602956919159979E+000                  4.4182925195032610E+000                 -2.8845118421236972E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5348527929764151E+000                  4.6699281656038725E+000                  7.8791165771360361E-001                  4.1632676486880840E+000                  1.1917500424471092E-007                  1.6368334640061647E+001                  6.3118726652643253E-001                  7.5370699064449864E+000                  7.0246270093867735E-001                  2.8007027778443239E-001                  1.1854044218319383E-004                  7.9601507485854879E-003                  2.9298508566681651E-003                  7.9734484983769345E-003                  1.4053504245420259E+001                  5.6006260788545310E+000                  0.0000000000000000E+000                                        0                                        5 
                                      28                                     3375                  1.3720513246315117E+004                  3.2231680206780204E+000                  1.9999632888603912E+001                  3.4599527934228810E+001                 -7.4416834424548091E+000                  7.3943684059444648E+000                  4.4644144254235005E+000                 -2.8260314263928901E+001                 -1.1138109839567303E+001                  4.4644144254235005E+000                  1.7445151126125580E+000                  4.4635859126871846E+000                 -2.8260314263928901E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5408212728165616E+000                  4.6734620831403149E+000                  7.7774165680153073E-001                  4.1836063375682109E+000                  1.2093179207362035E-007                  1.6407928910260829E+001                  6.6047446920942177E-001                  7.5469203762512471E+000                  7.0240899393570666E-001                  2.8011708357632431E-001                  7.0900061447480827E-005                  7.9519711752988591E-003                  2.9298508566681677E-003                  7.9734484983769380E-003                  1.4052955482930725E+001                  5.6010499157861684E+000                  0.0000000000000000E+000                                        0                                        5 
