                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          2.0000000000000000E+001          1.3999999999999999E+000          2.2396569940516333E+003                       "gfortran"                         "10.2.0"           "x86_64-linux-20.12.1"                       "20210322" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39 
                    model_number                              age                      period_days                binary_separation                     eccentricity                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                   accretion_mode                acc_am_div_kep_am                      lg_t_sync_1                      lg_t_sync_2                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 point_mass_index                         ce_phase 
                              10          6.9091226185682740E+002          2.2396607945333444E+003          2.0000019732693258E+003          0.0000000000000000E+000          2.9556359239016183E+000          4.2223332009293742E+001          6.1386096780309147E+000          0.0000000000000000E+000          1.2111137308269590E+003          3.7237161814219627E+002          1.9999981843155751E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.6736101842663995E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6736101842663995E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354560426274441E+054         -3.5942621858022914E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.5942621858022914E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                              11          8.4474719007069143E+002          2.2396614441820839E+003          2.0000022633352733E+003          0.0000000000000000E+000          2.9556359239016219E+000          4.2223325456861012E+001          6.1667656316205814E+000          0.0000000000000000E+000          1.2111138834008270E+003          3.7237168931362140E+002          1.9999978739456203E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.6951752805337987E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6951752805337987E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354560260237890E+054         -3.4201470852966578E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.4201470852966578E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                              12          1.0293491039273283E+003          2.2396621880681814E+003          2.0000025954778280E+003          0.0000000000000000E+000          2.9556359239016277E+000          4.2223317953942846E+001          6.1969126115749047E+000          0.0000000000000000E+000          1.2111140581068660E+003          3.7237177080908964E+002          1.9999975185538933E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.7155288851724526E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.7155288851724526E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354560070116279E+054         -3.2635579079460443E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.2635579079460443E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                              13          1.2508714005552924E+003          2.2396630440944432E+003          2.0000029776905069E+003          0.0000000000000000E+000          2.9556359239016352E+000          4.2223309319971072E+001          6.2303495060358873E+000          0.0000000000000000E+000          1.2111142591496405E+003          3.7237186458991545E+002          1.9999971095873981E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.7337297159012435E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.7337297159012435E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354559851334035E+054         -3.1296131534124591E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.1296131534124591E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                              14          1.5166981565088495E+003          2.2396640377336093E+003          2.0000034213467659E+003          0.0000000000000000E+000          2.9556359239016450E+000          4.2223299298027136E+001          6.2685128328766169E+000          0.0000000000000000E+000          1.2111144925115527E+003          3.7237197344672597E+002          1.9999966348766399E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.7481696168371919E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.7481696168371919E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354559597380882E+054         -3.0272685574585130E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.0272685574585130E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                              15          1.8356902636531179E+003          2.2396652068772128E+003          2.0000039433649886E+003          0.0000000000000000E+000          2.9556359239016601E+000          4.2223287505936426E+001          6.3123298835150781E+000          0.0000000000000000E+000          1.2111147670916191E+003          3.7237210153066934E+002          1.9999960763191002E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.7567120190039311E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.7567120190039311E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354559298572566E+054         -2.9683067158948684E+036          0.0000000000000000E+000          0.0000000000000000E+000         -2.9683067158948684E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                              16          2.2184807922262398E+003          2.2396666081592707E+003          2.0000045690319773E+003          0.0000000000000000E+000          2.9556359239016801E+000          4.2223273372487888E+001          6.3614285869488940E+000          0.0000000000000000E+000          1.2111150961906158E+003          3.7237225504619664E+002          1.9999954068581498E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.7572359339259433E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.7572359339259433E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354558940434668E+054         -2.9647298872464564E+036          0.0000000000000000E+000          0.0000000000000000E+000         -2.9647298872464564E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                              17          2.6778294265139862E+003          2.2396683242491763E+003          2.0000053352591776E+003          0.0000000000000000E+000          2.9556359239017098E+000          4.2223256063878985E+001          6.4135225332026486E+000          0.0000000000000000E+000          1.2111154992238430E+003          3.7237244305002002E+002          1.9999945869989489E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.7484031544419354E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.7484031544419354E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354558501838695E+054         -3.0256469018528260E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.0256469018528260E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                              18          3.2290477876592822E+003          2.2396704714804073E+003          2.0000062939888189E+003          0.0000000000000000E+000          2.9556359239017560E+000          4.2223234406774921E+001          6.4642321872262283E+000          0.0000000000000000E+000          1.2111160035127389E+003          3.7237267828685805E+002          1.9999935611639881E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.7302461795007211E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.7302461795007211E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354557953052374E+054         -3.1548276250976425E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.1548276250976425E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
                              19          3.8905098210336373E+003          2.2396732072033378E+003          2.0000075154768369E+003          0.0000000000000000E+000          2.9556359239018337E+000          4.2223206814152952E+001          6.5073980690452169E+000          0.0000000000000000E+000          1.2111166460116779E+003          3.7237297799494894E+002          1.9999922541805404E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -7.7042348342263809E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.7042348342263809E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          1.6354557253860458E+054         -3.3495580655175911E+036          0.0000000000000000E+000          0.0000000000000000E+000         -3.3495580655175911E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                0          0.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.9999999999999997E+098          0.0000000000000000E+000                                1                                2          0.0000000000000000E+000 
